,year,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc
year,1,0.116683975,0.124378019,0.275821871,0.017454661,0.334628971,0.024585813,-0.037133903,0.046075086,-0.122841806,0.349164626,0.140056663,-0.024482089,0.346963875,0.314324949,0.330689507,0.236909654,0.120814244,0.128943325,0.211981898,0.220912729,0.258339053,0.195661203,0.222751283,0.331095224,0.203687313,-0.010534407,0.01415948,-0.027111057,-0.058540693,-0.178659429,0.160045093,-0.057832385,-0.066197585,-0.083895444
permit,0.116683975,1,0.076999,0.201214373,0.147257619,0.148968349,0.092090208,0.044948598,0.115257823,0.079320645,0.067241808,0.218893809,0.222183586,0.152897999,0.033884217,0.036593859,0.008837204,0.020439632,0.009378625,0.021304672,0.024927397,0.019884966,0.020584595,0.02414262,0.085843051,0.823510214,0.159543195,0.169365449,0.169078654,0.129165114,0.130144046,0.118406667,0.121715436,0.122143112,0.130640543
permit_recheck,0.124378019,0.076999,1,0.088423968,0.013064592,-0.008933135,0.046494203,-0.007958555,0.003743288,-0.017433051,0.00846594,-0.012204223,-0.030859533,0.003403576,-0.006862497,0.001161544,0.03178172,-0.004640298,-0.003306253,-0.001168232,-0.000453009,0.018993866,-0.002078126,0.002114634,0.007875898,0.466634642,0.079324017,0.103516636,0.128276537,0.021005964,-0.022376976,0.02817552,0.036440849,0.008124988,-0.007235845
long_gun,0.275821871,0.201214373,0.088423968,1,0.62376705,0.560648333,0.390642613,0.116959077,0.372685292,0.209633183,0.25391,0.523212484,0.382736286,0.565658071,0.392056931,0.327394648,0.058885486,-0.028201801,-0.023278407,0.135309791,0.124410001,0.163484094,0.218407259,0.222923479,0.165390071,0.547728224,0.638434144,0.647733705,0.587244882,0.521130512,0.479374497,0.612832508,0.558293334,0.563799682,0.568814172
other,0.017454661,0.147257619,0.013064592,0.62376705,1,0.414550561,0.306847448,0.096526301,0.335595197,0.241471271,0.155345069,0.458100889,0.414240659,0.434409837,0.092137592,0.067262742,-0.011229203,0.052725488,0.05340326,0.078447873,0.075271744,0.072682462,0.084550477,0.096434028,0.100236588,0.4676142,0.688986798,0.684400413,0.639117598,0.586161728,0.61667434,0.575500203,0.62016907,0.655678756,0.653521564
multiple,0.334628971,0.148968349,-0.008933135,0.560648333,0.414550561,1,0.167147617,0.058459311,0.210652674,0.092704231,0.29360308,0.34413713,0.204750334,0.587381648,0.242449188,0.200638838,0.116010891,0.073674721,0.081879376,0.267415187,0.264168101,0.30864256,0.278410385,0.281843654,0.246738844,0.336766396,0.404143892,0.404480947,0.324026198,0.309431709,0.239949826,0.509748861,0.390539373,0.346623143,0.364591011
admin,0.024585813,0.092090208,0.046494203,0.390642613,0.306847448,0.167147617,1,0.035722981,0.32662807,0.208188877,0.152970287,0.410385181,0.329358687,0.349453489,0.080224918,0.027372741,0.00662284,-0.009684138,-0.01676688,0.072828517,0.066355622,0.100059772,0.131231469,0.135189165,0.102950526,0.26154742,0.362599829,0.36739763,0.369906061,0.349204104,0.389554396,0.222319625,0.316443133,0.30093652,0.37333819
prepawn_handgun,-0.037133903,0.044948598,-0.007958555,0.116959077,0.096526301,0.058459311,0.035722981,1,0.114367498,0.107735607,0.018346534,0.103098994,0.125497937,0.066312116,0.048074582,0.036836236,-0.013580744,-0.007353448,-0.00848734,-0.001776972,-0.002072226,0.001802677,-0.001757658,-0.001232624,-0.011928171,0.082193888,0.139529034,0.131173498,0.125383015,0.143410414,0.153619276,0.09260201,0.147128807,0.13742313,0.165164414
prepawn_long_gun,0.046075086,0.115257823,0.003743288,0.372685292,0.335595197,0.210652674,0.32662807,0.114367498,1,0.837380568,0.269582763,0.802173164,0.746851406,0.549978064,0.081272953,0.009937452,0.006981644,0.052951711,0.026125161,0.096429436,0.090828078,0.14364048,0.176490241,0.185168213,0.177241061,0.269374989,0.285696433,0.288361053,0.258498928,0.389006254,0.397720029,0.230256648,0.226860553,0.253114932,0.326819989
prepawn_other,-0.122841806,0.079320645,-0.017433051,0.209633183,0.241471271,0.092704231,0.208188877,0.107735607,0.837380568,1,0.148988055,0.582461761,0.670415245,0.311009126,0.033233386,-0.00591551,-0.000601488,0.043107267,0.018719167,0.091401808,0.091177178,0.149583015,0.097618077,0.078001653,0.081437732,0.172374704,0.190300866,0.184818716,0.172427356,0.279919362,0.340668207,0.112143918,0.143309361,0.203883822,0.250897031
redemption_handgun,0.349164626,0.067241808,0.00846594,0.25391,0.155345069,0.29360308,0.152970287,0.018346534,0.269582763,0.148988055,1,0.328565034,0.193298694,0.541553442,0.228621623,0.239420533,0.156816337,0.148611241,0.144638892,0.297284186,0.315999053,0.374939794,0.208660422,0.209415982,0.319307656,0.155390608,0.100006983,0.111523848,0.065903285,0.109619438,0.027304215,0.206222339,0.05129194,0.072953036,0.08143665
redemption_long_gun,0.140056663,0.218893809,-0.012204223,0.523212484,0.458100889,0.34413713,0.410385181,0.103098994,0.802173164,0.582461761,0.328565034,1,0.89880137,0.763598282,0.103155681,0.029755147,0.026595936,0.094010589,0.051250735,0.113102885,0.110275162,0.152213701,0.192129703,0.213619655,0.228257804,0.403315293,0.367386528,0.369494228,0.31738656,0.461805014,0.441120873,0.348169173,0.301693945,0.320697143,0.423794643
redemption_other,-0.024482089,0.222183586,-0.030859533,0.382736286,0.414240659,0.204750334,0.329358687,0.125497937,0.746851406,0.670415245,0.193298694,0.89880137,1,0.542597614,-0.014231311,-0.048583179,-0.023139891,0.067765935,0.027567854,0.038440073,0.041377032,0.052024458,0.047535231,0.062697704,0.107402819,0.355562349,0.306987321,0.301699631,0.267587831,0.44617321,0.473741363,0.234402377,0.255430054,0.282498552,0.403868972
returned_handgun,0.346963875,0.152897999,0.003403576,0.565658071,0.434409837,0.587381648,0.349453489,0.066312116,0.549978064,0.311009126,0.541553442,0.763598282,0.542597614,1,0.179504317,0.138873551,0.080262042,0.144583453,0.127971677,0.275296923,0.279612768,0.363122592,0.24552252,0.262094787,0.377116952,0.359390972,0.384862348,0.394676501,0.309283034,0.382978628,0.281357091,0.49699248,0.32084467,0.31305883,0.386112291
returned_long_gun,0.314324949,0.033884217,-0.006862497,0.392056931,0.092137592,0.242449188,0.080224918,0.048074582,0.081272953,0.033233386,0.228621623,0.103155681,-0.014231311,0.179504317,1,0.909505825,0.432043745,0.108629218,0.094244728,0.483189405,0.473557768,0.530664479,0.589275117,0.578938613,0.263354052,0.133754927,0.053312516,0.065551022,0.051959361,0.036060706,-0.02227797,0.095134918,0.010676112,0.041520916,-0.00020558
rentals_handgun,0.330689507,0.036593859,0.001161544,0.327394648,0.067262742,0.200638838,0.027372741,0.036836236,0.009937452,-0.00591551,0.239420533,0.029755147,-0.048583179,0.138873551,0.909505825,1,0.496302747,0.173618095,0.208651871,0.562155257,0.571220218,0.538432201,0.448249713,0.463868155,0.301884562,0.116425595,0.036155315,0.041357657,0.03837155,-0.001509911,-0.036181722,0.051717549,0.017074435,0.031652852,0.008063703
rentals_long_gun,0.236909654,0.008837204,0.03178172,0.058885486,-0.011229203,0.116010891,0.00662284,-0.013580744,0.006981644,-0.000601488,0.156816337,0.026595936,-0.023139891,0.080262042,0.432043745,0.496302747,1,0.091048784,0.079117576,0.243928866,0.242825256,0.261933295,0.260528349,0.253207827,0.112884937,0.033087237,-0.045046737,-0.040872967,-0.05268066,-0.038109842,-0.061231879,0.009090682,-0.054663322,-0.046813319,-0.04957726
private_sale_handgun,0.120814244,0.020439632,-0.004640298,-0.028201801,0.052725488,0.073674721,-0.009684138,-0.007353448,0.052951711,0.043107267,0.148611241,0.094010589,0.067765935,0.144583453,0.108629218,0.173618095,0.091048784,1,0.933698753,0.167015906,0.189304794,0.12623432,0.115745405,0.157796902,0.218913085,0.022270644,0.067918814,0.061358562,0.056886864,0.063212246,0.057760592,0.050742686,0.076402751,0.069743791,0.094411806
private_sale_long_gun,0.128943325,0.009378625,-0.003306253,-0.023278407,0.05340326,0.081879376,-0.01676688,-0.00848734,0.026125161,0.018719167,0.144638892,0.051250735,0.027567854,0.127971677,0.094244728,0.208651871,0.079117576,0.933698753,1,0.27783457,0.293790771,0.193593587,0.187168884,0.234986121,0.291623812,0.014765144,0.072057632,0.057818495,0.059435479,0.042654093,0.04366697,0.036089666,0.106501084,0.083649877,0.110665988
private_sale_other,0.211981898,0.021304672,-0.001168232,0.135309791,0.078447873,0.267415187,0.072828517,-0.001776972,0.096429436,0.091401808,0.297284186,0.113102885,0.038440073,0.275296923,0.483189405,0.562155257,0.243928866,0.167015906,0.27783457,1,0.99463932,0.876758736,0.599063242,0.626265022,0.606183557,0.071957672,0.040289618,0.027920294,0.018449622,-0.010821659,-0.013961814,0.055138151,0.076178707,0.057346262,0.054859475
return_to_seller_handgun,0.220912729,0.024927397,-0.000453009,0.124410001,0.075271744,0.264168101,0.066355622,-0.002072226,0.090828078,0.091177178,0.315999053,0.110275162,0.041377032,0.279612768,0.473557768,0.571220218,0.242825256,0.189304794,0.293790771,0.99463932,1,0.878767295,0.564962499,0.595157415,0.608736094,0.071689908,0.039955661,0.028470652,0.019288321,-0.01019896,-0.012424723,0.054544033,0.073329262,0.053987939,0.056122629
return_to_seller_long_gun,0.258339053,0.019884966,0.018993866,0.163484094,0.072682462,0.30864256,0.100059772,0.001802677,0.14364048,0.149583015,0.374939794,0.152213701,0.052024458,0.363122592,0.530664479,0.538432201,0.261933295,0.12623432,0.193593587,0.876758736,0.878767295,1,0.692123483,0.666162303,0.546208576,0.085867992,0.037059597,0.035043167,0.023586301,-0.005855706,-0.016955507,0.066784748,0.048632037,0.029813526,0.033178678
return_to_seller_other,0.195661203,0.020584595,-0.002078126,0.218407259,0.084550477,0.278410385,0.131231469,-0.001757658,0.176490241,0.097618077,0.208660422,0.192129703,0.047535231,0.24552252,0.589275117,0.448249713,0.260528349,0.115745405,0.187168884,0.599063242,0.564962499,0.692123483,1,0.978736214,0.391506853,0.09195555,0.01189081,0.00747607,0.000483602,-0.015392024,-0.022470548,0.031489659,0.029590183,0.013549466,0.016365946
totals,0.222751283,0.02414262,0.002114634,0.222923479,0.096434028,0.281843654,0.135189165,-0.001232624,0.185168213,0.078001653,0.209415982,0.213619655,0.062697704,0.262094787,0.578938613,0.463868155,0.253207827,0.157796902,0.234986121,0.626265022,0.595157415,0.666162303,0.978736214,1,0.439808057,0.100310912,0.024813097,0.018874886,0.012508224,-0.01155971,-0.015705183,0.038730512,0.045388126,0.029129757,0.02971159
crime_total_murders,0.331095224,0.085843051,0.007875898,0.165390071,0.100236588,0.246738844,0.102950526,-0.011928171,0.177241061,0.081437732,0.319307656,0.228257804,0.107402819,0.377116952,0.263354052,0.301884562,0.112884937,0.218913085,0.291623812,0.606183557,0.608736094,0.546208576,0.391506853,0.439808057,1,0.134085742,0.112488265,0.116311017,0.08645745,0.063318488,0.019397525,0.175932929,0.098937487,0.09236092,0.086438729
