group,variable ,value
year,year,1
year,permit,0.116683975
year,permit_recheck,0.124378019
year,handgun,0.275821871
year,long_gun,0.017454661
year,other,0.334628971
year,multiple,0.024585813
year,admin,-0.037133903
year,prepawn_handgun,0.046075086
year,prepawn_long_gun,-0.122841806
year,prepawn_other,0.349164626
year,redemption_handgun,0.140056663
year,redemption_long_gun,-0.024482089
year,redemption_other,0.346963875
year,returned_handgun,0.314324949
year,returned_long_gun,0.330689507
year,returned_other,0.236909654
year,rentals_handgun,0.120814244
year,rentals_long_gun,0.128943325
year,private_sale_handgun,0.211981898
year,private_sale_long_gun,0.220912729
year,private_sale_other,0.258339053
year,return_to_seller_handgun,0.195661203
year,return_to_seller_long_gun,0.222751283
year,return_to_seller_other,0.331095224
year,totals,0.203687313
year,crime_total_murders,-0.010534407
year,crime_total_firearms,0.01415948
year,crime_handguns,-0.027111057
year,crime_rifles,-0.058540693
year,crime_shotguns,-0.178659429
year,crime_firearms_type_unknown,0.160045093
year,crime_knives__cutting _instruments,-0.057832385
year,crime_other_weapons,-0.066197585
year,crime_hands_+A:AJfists_feet_etc,-0.083895444
permit,year,0.116683975
permit,permit,1
permit,permit_recheck,0.076999
permit,handgun,0.201214373
permit,long_gun,0.147257619
permit,other,0.148968349
permit,multiple,0.092090208
permit,admin,0.044948598
permit,prepawn_handgun,0.115257823
permit,prepawn_long_gun,0.079320645
permit,prepawn_other,0.067241808
permit,redemption_handgun,0.218893809
permit,redemption_long_gun,0.222183586
permit,redemption_other,0.152897999
permit,returned_handgun,0.033884217
permit,returned_long_gun,0.036593859
permit,returned_other,0.008837204
permit,rentals_handgun,0.020439632
permit,rentals_long_gun,0.009378625
permit,private_sale_handgun,0.021304672
permit,private_sale_long_gun,0.024927397
permit,private_sale_other,0.019884966
permit,return_to_seller_handgun,0.020584595
permit,return_to_seller_long_gun,0.02414262
permit,return_to_seller_other,0.085843051
permit,totals,0.823510214
permit,crime_total_murders,0.159543195
permit,crime_total_firearms,0.169365449
permit,crime_handguns,0.169078654
permit,crime_rifles,0.129165114
permit,crime_shotguns,0.130144046
permit,crime_firearms_type_unknown,0.118406667
permit,crime_knives__cutting _instruments,0.121715436
permit,crime_other_weapons,0.122143112
permit,crime_hands_+A:AJfists_feet_etc,0.130640543
permit_recheck,year,0.124378019
permit_recheck,permit,0.076999
permit_recheck,permit_recheck,1
permit_recheck,handgun,0.088423968
permit_recheck,long_gun,0.013064592
permit_recheck,other,-0.008933135
permit_recheck,multiple,0.046494203
permit_recheck,admin,-0.007958555
permit_recheck,prepawn_handgun,0.003743288
permit_recheck,prepawn_long_gun,-0.017433051
permit_recheck,prepawn_other,0.00846594
permit_recheck,redemption_handgun,-0.012204223
permit_recheck,redemption_long_gun,-0.030859533
permit_recheck,redemption_other,0.003403576
permit_recheck,returned_handgun,-0.006862497
permit_recheck,returned_long_gun,0.001161544
permit_recheck,returned_other,0.03178172
permit_recheck,rentals_handgun,-0.004640298
permit_recheck,rentals_long_gun,-0.003306253
permit_recheck,private_sale_handgun,-0.001168232
permit_recheck,private_sale_long_gun,-0.000453009
permit_recheck,private_sale_other,0.018993866
permit_recheck,return_to_seller_handgun,-0.002078126
permit_recheck,return_to_seller_long_gun,0.002114634
permit_recheck,return_to_seller_other,0.007875898
permit_recheck,totals,0.466634642
permit_recheck,crime_total_murders,0.079324017
permit_recheck,crime_total_firearms,0.103516636
permit_recheck,crime_handguns,0.128276537
permit_recheck,crime_rifles,0.021005964
permit_recheck,crime_shotguns,-0.022376976
permit_recheck,crime_firearms_type_unknown,0.02817552
permit_recheck,crime_knives__cutting _instruments,0.036440849
permit_recheck,crime_other_weapons,0.008124988
permit_recheck,crime_hands_+A:AJfists_feet_etc,-0.007235845
handgun,year,0.275821871
handgun,permit,0.201214373
handgun,permit_recheck,0.088423968
handgun,handgun,1
handgun,long_gun,0.62376705
handgun,other,0.560648333
handgun,multiple,0.390642613
handgun,admin,0.116959077
handgun,prepawn_handgun,0.372685292
handgun,prepawn_long_gun,0.209633183
handgun,prepawn_other,0.25391
handgun,redemption_handgun,0.523212484
handgun,redemption_long_gun,0.382736286
handgun,redemption_other,0.565658071
handgun,returned_handgun,0.392056931
handgun,returned_long_gun,0.327394648
handgun,returned_other,0.058885486
handgun,rentals_handgun,-0.028201801
handgun,rentals_long_gun,-0.023278407
handgun,private_sale_handgun,0.135309791
handgun,private_sale_long_gun,0.124410001
handgun,private_sale_other,0.163484094
handgun,return_to_seller_handgun,0.218407259
handgun,return_to_seller_long_gun,0.222923479
handgun,return_to_seller_other,0.165390071
handgun,totals,0.547728224
handgun,crime_total_murders,0.638434144
handgun,crime_total_firearms,0.647733705
handgun,crime_handguns,0.587244882
handgun,crime_rifles,0.521130512
handgun,crime_shotguns,0.479374497
handgun,crime_firearms_type_unknown,0.612832508
handgun,crime_knives__cutting _instruments,0.558293334
handgun,crime_other_weapons,0.563799682
handgun,crime_hands_+A:AJfists_feet_etc,0.568814172
long_gun,year,0.017454661
long_gun,permit,0.147257619
long_gun,permit_recheck,0.013064592
long_gun,handgun,0.62376705
long_gun,long_gun,1
long_gun,other,0.414550561
long_gun,multiple,0.306847448
long_gun,admin,0.096526301
long_gun,prepawn_handgun,0.335595197
long_gun,prepawn_long_gun,0.241471271
long_gun,prepawn_other,0.155345069
long_gun,redemption_handgun,0.458100889
long_gun,redemption_long_gun,0.414240659
long_gun,redemption_other,0.434409837
long_gun,returned_handgun,0.092137592
long_gun,returned_long_gun,0.067262742
long_gun,returned_other,-0.011229203
long_gun,rentals_handgun,0.052725488
long_gun,rentals_long_gun,0.05340326
long_gun,private_sale_handgun,0.078447873
long_gun,private_sale_long_gun,0.075271744
long_gun,private_sale_other,0.072682462
long_gun,return_to_seller_handgun,0.084550477
long_gun,return_to_seller_long_gun,0.096434028
long_gun,return_to_seller_other,0.100236588
long_gun,totals,0.4676142
long_gun,crime_total_murders,0.688986798
long_gun,crime_total_firearms,0.684400413
long_gun,crime_handguns,0.639117598
long_gun,crime_rifles,0.586161728
long_gun,crime_shotguns,0.61667434
long_gun,crime_firearms_type_unknown,0.575500203
long_gun,crime_knives__cutting _instruments,0.62016907
long_gun,crime_other_weapons,0.655678756
long_gun,crime_hands_fists_feet_etc,0.653521564
other,year,0.334628971
other,permit,0.148968349
other,permit_recheck,-0.008933135
other,handgun,0.560648333
other,long_gun,0.414550561
other,other,1
other,multiple,0.167147617
other,admin,0.058459311
other,prepawn_handgun,0.210652674
other,prepawn_long_gun,0.092704231
other,prepawn_other,0.29360308
other,redemption_handgun,0.34413713
other,redemption_long_gun,0.204750334
other,redemption_other,0.587381648
other,returned_handgun,0.242449188
other,returned_long_gun,0.200638838
other,returned_other,0.116010891
other,rentals_handgun,0.073674721
other,rentals_long_gun,0.081879376
other,private_sale_handgun,0.267415187
other,private_sale_long_gun,0.264168101
other,private_sale_other,0.30864256
other,return_to_seller_handgun,0.278410385
other,return_to_seller_long_gun,0.281843654
other,return_to_seller_other,0.246738844
other,totals,0.336766396
other,crime_total_murders,0.404143892
other,crime_total_firearms,0.404480947
other,crime_handguns,0.324026198
other,crime_rifles,0.309431709
other,crime_shotguns,0.239949826
other,crime_firearms_type_unknown,0.509748861
other,crime_knives__cutting _instruments,0.390539373
other,crime_other_weapons,0.346623143
other,crime_hands_fists_feet_etc,0.364591011
multiple,year,0.024585813
multiple,permit,0.092090208
multiple,permit_recheck,0.046494203
multiple,handgun,0.390642613
multiple,long_gun,0.306847448
multiple,other,0.167147617
multiple,multiple,1
multiple,admin,0.035722981
multiple,prepawn_handgun,0.32662807
multiple,prepawn_long_gun,0.208188877
multiple,prepawn_other,0.152970287
multiple,redemption_handgun,0.410385181
multiple,redemption_long_gun,0.329358687
multiple,redemption_other,0.349453489
multiple,returned_handgun,0.080224918
multiple,returned_long_gun,0.027372741
multiple,returned_other,0.00662284
multiple,rentals_handgun,-0.009684138
multiple,rentals_long_gun,-0.01676688
multiple,private_sale_handgun,0.072828517
multiple,private_sale_long_gun,0.066355622
multiple,private_sale_other,0.100059772
multiple,return_to_seller_handgun,0.131231469
multiple,return_to_seller_long_gun,0.135189165
multiple,return_to_seller_other,0.102950526
multiple,totals,0.26154742
multiple,crime_total_murders,0.362599829
multiple,crime_total_firearms,0.36739763
multiple,crime_handguns,0.369906061
multiple,crime_rifles,0.349204104
multiple,crime_shotguns,0.389554396
multiple,crime_firearms_type_unknown,0.222319625
multiple,crime_knives__cutting _instruments,0.316443133
multiple,crime_other_weapons,0.30093652
