year,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc,Political
31-Dec-06,California,172352,0,200857,227982,0,16624,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617820,"2,485","1,822","1,623",74,69,56,315,218,130,Blue
31-Dec-07,California,277806,0,195941,191063,0,191133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855943,"2,249","1,605","1,374",51,74,106,298,228,118,Blue
31-Dec-08,California,335184,0,227528,217609,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780398,"2,142","1,487","1,156",48,64,219,294,241,120,Blue
31-Dec-09,California,291115,0,240795,256203,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788164,"1,972","1,360","1,022",45,49,244,291,214,107,Blue
31-Dec-10,California,295252,0,245159,275458,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816399,"1,811","1,257",953,59,44,201,250,201,103,Blue
31-Dec-16,California,1036981,0,560355,554550,211707,0,0,0,0,0,6752,6645,177,0,0,0,0,0,0,0,0,0,0,0,2377167,"1,930","1,368",930,37,36,365,280,193,89,Blue
31-Dec-12,California,324057,0,375569,423207,809,0,3,0,0,0,5241,3689,28,0,0,0,0,0,0,0,0,0,0,0,1132603,"1,879","1,304",899,38,52,315,261,227,87,Blue
31-Dec-17,California,689851,0,512465,318133,38783,0,0,0,0,0,6024,4764,90,0,0,0,0,0,0,0,0,0,0,0,1570110,"1,830","1,274",886,37,34,317,258,195,103,Blue
31-Dec-11,California,278625,0,303169,320988,186,0,24,0,0,0,1645,1058,6,0,0,0,0,0,0,0,0,0,0,0,905701,"1,790","1,220",866,45,50,259,261,208,101,Blue
31-Dec-15,California,873632,0,477822,343127,53693,0,0,0,0,0,6639,6067,99,0,0,0,0,0,0,0,0,0,0,0,1761079,"1,861","1,275",855,34,33,353,263,233,90,Blue
